epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,689.148,1.81053,1.43635,0.94549,0.26973,0.24188,0.1942,0.10435,1.70842,1.31818,0.92229,0.000237706,0.000237706,0.000237706
2,1330.4,1.79095,1.40863,0.93952,0.29441,0.24735,0.20596,0.10878,1.70229,1.31583,0.92362,0.00046225,0.00046225,0.00046225
3,1722.94,1.78105,1.38558,0.93682,0.3138,0.24591,0.20378,0.10663,1.71842,1.31954,0.93162,0.00067333,0.00067333,0.00067333
4,2139.96,1.76469,1.35519,0.93457,0.32823,0.24698,0.21059,0.11318,1.68476,1.29045,0.91995,0.000653412,0.000653412,0.000653412
5,2520.97,1.74147,1.33153,0.92855,0.3169,0.25246,0.22181,0.12086,1.65148,1.2693,0.91796,0.000633216,0.000633216,0.000633216
6,2864.32,1.72264,1.3095,0.92677,0.34396,0.26645,0.23709,0.12804,1.62272,1.23951,0.91101,0.00061302,0.00061302,0.00061302
7,3206.4,1.71163,1.28931,0.92393,0.34305,0.26848,0.23456,0.12654,1.63411,1.22498,0.91276,0.000592824,0.000592824,0.000592824
8,3575.35,1.70622,1.27939,0.92182,0.36367,0.27798,0.24524,0.13064,1.62544,1.211,0.91342,0.000572628,0.000572628,0.000572628
9,3922.89,1.6946,1.25764,0.91736,0.36079,0.27711,0.248,0.13289,1.61727,1.21917,0.90944,0.000552432,0.000552432,0.000552432
10,4271.63,1.68393,1.24715,0.91802,0.35568,0.28801,0.25603,0.13879,1.59355,1.1789,0.90655,0.000532236,0.000532236,0.000532236
11,4628.67,1.67483,1.2358,0.91376,0.37323,0.27429,0.25211,0.13685,1.60257,1.19602,0.9055,0.00051204,0.00051204,0.00051204
12,4985.96,1.66418,1.22416,0.91425,0.3763,0.2879,0.26068,0.14232,1.58486,1.16944,0.90366,0.000491844,0.000491844,0.000491844
13,5329.13,1.66332,1.21558,0.91152,0.37328,0.28511,0.26044,0.14117,1.5768,1.17045,0.90035,0.000471648,0.000471648,0.000471648
14,5682.79,1.65915,1.21004,0.91044,0.38933,0.27303,0.24679,0.13419,1.59194,1.19273,0.90238,0.000451452,0.000451452,0.000451452
15,6037.62,1.64654,1.20283,0.90821,0.39169,0.29498,0.27246,0.1482,1.57447,1.1517,0.90098,0.000431256,0.000431256,0.000431256
16,6395.21,1.63873,1.18717,0.90723,0.37993,0.29163,0.26546,0.14431,1.56237,1.14787,0.8967,0.00041106,0.00041106,0.00041106
17,6729.05,1.6314,1.17911,0.90515,0.39483,0.30136,0.27607,0.15139,1.5618,1.13655,0.89937,0.000390864,0.000390864,0.000390864
18,7314.36,1.63017,1.17346,0.90538,0.40506,0.2963,0.27236,0.14832,1.55275,1.12724,0.89558,0.000370668,0.000370668,0.000370668
19,7725.22,1.6225,1.1628,0.90259,0.39807,0.29664,0.27228,0.14831,1.54736,1.13095,0.89452,0.000350472,0.000350472,0.000350472
20,8363.55,1.62546,1.16181,0.90053,0.399,0.29904,0.27781,0.15143,1.5466,1.12559,0.89454,0.000330276,0.000330276,0.000330276
21,8969.46,1.60904,1.1471,0.89997,0.40567,0.30015,0.28148,0.15385,1.54534,1.11939,0.89359,0.00031008,0.00031008,0.00031008
22,9443.14,1.6065,1.14497,0.90015,0.40093,0.30536,0.28253,0.15538,1.52949,1.11118,0.89215,0.000289884,0.000289884,0.000289884
23,9862.8,1.60758,1.14329,0.89817,0.41628,0.29899,0.28283,0.15566,1.53423,1.11292,0.8917,0.000269688,0.000269688,0.000269688
24,10354.4,1.61085,1.13676,0.89805,0.40261,0.30484,0.28667,0.15687,1.53128,1.10483,0.89078,0.000249492,0.000249492,0.000249492
25,10742.3,1.59622,1.12743,0.89435,0.41115,0.30587,0.28639,0.15675,1.53633,1.10391,0.89217,0.000229296,0.000229296,0.000229296
26,11249.3,1.54519,1.09675,0.89841,0.41284,0.30633,0.28447,0.1561,1.5336,1.10633,0.89114,0.0002091,0.0002091,0.0002091
27,11655.7,1.52974,1.07716,0.89683,0.41018,0.30574,0.28621,0.1567,1.53614,1.10214,0.89261,0.000188904,0.000188904,0.000188904
28,12006,1.52815,1.07102,0.89416,0.40415,0.30887,0.28746,0.15655,1.52699,1.10587,0.88922,0.000168708,0.000168708,0.000168708
29,12380.6,1.52387,1.0646,0.89317,0.41924,0.3058,0.28746,0.15837,1.5316,1.09554,0.89049,0.000148512,0.000148512,0.000148512
30,12859.6,1.52046,1.05692,0.8919,0.42939,0.30347,0.28941,0.15881,1.53184,1.09275,0.89076,0.000128316,0.000128316,0.000128316
31,13363.8,1.51931,1.05408,0.88963,0.41941,0.30703,0.2896,0.15939,1.52445,1.09058,0.88906,0.00010812,0.00010812,0.00010812
32,13730.5,1.50861,1.0434,0.88791,0.42219,0.31017,0.29169,0.16115,1.51831,1.08409,0.88829,8.7924e-05,8.7924e-05,8.7924e-05
33,14086.3,1.49778,1.03367,0.89001,0.42315,0.31011,0.293,0.16191,1.5175,1.08444,0.88712,6.7728e-05,6.7728e-05,6.7728e-05
34,14411.6,1.50086,1.03536,0.88739,0.41646,0.31255,0.29346,0.16218,1.51722,1.08294,0.88741,4.7532e-05,4.7532e-05,4.7532e-05
35,14732.6,1.49639,1.02745,0.88513,0.4174,0.31455,0.29556,0.16321,1.51856,1.07975,0.88791,2.7336e-05,2.7336e-05,2.7336e-05
